galaxy,survey,quality_tier,n_points_raw,n_points_used,turnover,curvature_std,curvature_max,q,A0,mse_log,r_min_kpc,r_max_kpc,vobs_max_kms,distance_mpc,inc_deg,m2l_disk,Sigma_proxy,vel_col_used,p_fit,vrot_mean_kms,regime
UGC12632,SPARC,1,15,15,0.8291423179419196,4.500625622632714,13.038351804045872,4.013959912451338e-07,523.7006266722715,0.0087281957677861,0.71,10.66,73.2,9.77,46.0,3.44,4.19,,,,non_activated
UGC12732,SPARC,1,16,16,0.0298031184449217,3.0860314095263126,9.627262181718097,2.0033912654840428e-08,619.103745452186,0.0088008488212738,0.96,15.4,98.0,13.2,39.0,3.27,1.05,,,,non_activated
UGCA281,SPARC,1,7,7,0.2019593950861686,1.2040765106948257,2.379801501486764,3.820676166286193e-08,424.564561040862,0.0052064540102391,0.09,1.08,29.5,5.68,67.0,1.62,20.85,,,,non_activated
UGCA442,SPARC,1,8,8,0.6855487884160895,0.998907702129866,2.261232710072943,2.3426963118228899e-07,507.1703801557769,0.0034894586273457,0.42,6.33,57.8,4.35,64.0,7.0,0.86,,,,non_activated
UGCA444,SPARC,1,36,36,0.1399767202157452,34.92347704838303,107.7935755290672,3.0282726772960074e-08,408.9125189205497,0.0018295532031986,0.12,2.62,38.3,0.98,78.0,14.7,0.6699999999999999,,,,non_activated
NGC925,THINGS,1,96,96,0.8583939406711592,52.77960861036208,237.561503632586,4.479322674635111e-07,550.6184749460249,0.0047249689622243,0.4014,13.1132,,9.2,66.0,,,Vrot,0.65,81.564,non_activated
NGC2366,THINGS,1,75,75,4.88767591365439,293.9405752923082,1436.775261903612,1.5107983363480224,5590.576210519826,0.048319241323588,0.0989,7.4176,,3.4,63.8,,,Vrot,2.1,42.575,activated
NGC2403,THINGS,1,288,288,0.4354086900198782,425.09697858609314,2179.198822756658,9.169312100606028e-08,4251.097442795631,0.0293986551584652,0.0621,17.8722,,3.2,62.9,,,Vrot,1.375,121.622,non_activated
NGC2841,THINGS,1,141,141,-0.2894757046996277,156.79534624548018,1037.2164796266811,6.050439319748861e-09,118354.32385007296,0.0007632613072436,3.7597,51.6108,,14.1,73.7,,,Vrot,2.1,295.175,non_activated
NGC2903,THINGS,1,97,97,0.9349397691019106,59.454405734471656,358.8570787515732,5.968637610815017e-07,8009.779634868279,0.0690911693822204,0.302,29.2978,,8.9,65.2,,,Vrot,1.425,185.692,non_activated
NGC2976,THINGS,1,42,42,0.3296526695510365,21.22733699211033,50.98536004227329,6.167398992499268e-08,2592.250137089427,0.0034016204418231,0.0611,2.5656,,3.6,64.5,,,Vrot,0.825,56.711,non_activated
NGC3031,THINGS,1,117,117,0.6321337847556474,77.78910979292957,315.115019988762,1.917450184315661e-07,79837.16148074034,0.0031673776025705,2.4086,14.6608,,3.6,59.0,,,Vrot,2.225,227.858,non_activated
NGC3198,THINGS,1,94,94,0.6445775920944257,35.18471597143191,133.3517986069593,2.009047143054095e-07,4090.8772042405785,0.0221816929597031,0.4014,37.734,,13.8,71.5,,,Vrot,1.4500000000000002,140.859,non_activated
IC2574,THINGS,1,100,100,1.1852308467155068,91.79391076306182,354.836067473431,1.52580951248268e-06,188.6004562427536,0.0208844710438123,0.1164,11.6355,,4.0,53.4,,,Vrot,0.5,49.637,non_activated
NGC3521,THINGS,1,100,100,0.3933594443837427,95.3082592893398,349.5363770817147,7.831684309939967e-08,13131.254921229696,0.0601567397149065,0.3113,31.125,,10.7,72.7,,,Vrot,1.575,204.589,non_activated
NGC3621,THINGS,1,123,123,-0.0292441244334484,69.38411016578887,282.7002668227929,1.6054662562725788e-08,4853.719516319209,0.0162594490841834,0.208,25.5822,,6.6,64.7,,,Vrot,1.4500000000000002,136.05,non_activated
NGC3627,THINGS,1,26,26,0.8558185165289722,18.4368811009636,42.091642836634,4.436270322519786e-07,30897.222598945227,0.0017353420553057,1.8035,7.4395,,9.3,61.8,,,Vrot,1.875,193.798,non_activated
NGC4736,THINGS,1,82,82,0.7568095633570422,60.09441387449879,170.57857380123176,3.060353519274917e-07,33814.66509849835,0.0041093214905247,0.4557,9.6842,,4.7,41.4,,,Vrot,2.3,152.408,non_activated
DDO154,THINGS,1,61,61,0.8062590668382054,43.395436522159336,193.27644924876705,3.683878264267473e-07,438.7372230741777,0.0143921321403137,0.1355,8.2658,,4.3,66.0,,,Vrot,1.025,39.034,non_activated
NGC4826,THINGS,1,89,79,0.2187649979997906,215.63361766602563,524.184396985703,4.069208157534135e-08,15905.912651771212,0.0034126745313208,4.7269,21.9984,,7.5,65.2,,,Vrot,1.85,115.836,non_activated
NGC5055,THINGS,1,199,199,0.5416607344917844,432.5068912676544,2454.8142723078386,1.3657754173911348e-07,16433.65120709822,0.0190157671123815,0.2448,48.7214,,10.1,59.0,,,Vrot,1.75,192.574,non_activated
NGC6946,THINGS,1,207,207,0.7012508117355942,1280.4049718192778,8238.356537668902,2.484782480609763e-07,17428.382081465574,0.0033502258918791,1.373,19.1361,,5.9,32.6,,,Vrot,1.675,190.823,non_activated
NGC7331,THINGS,1,105,105,-0.3975559150821389,45.49827051871588,162.8619860666773,4.034289070157671e-09,73956.23393126504,0.0004677026262307,2.9932,25.2287,,14.7,75.8,,,Vrot,2.075,249.068,non_activated
NGC7793,THINGS,1,68,68,1.6413118126193496,72.38130191798156,378.39597598057753,8.438700888292303e-06,3430.0440534600352,0.0085222864018494,0.1134,7.7144,,3.9,49.6,,,Vrot,1.225,93.673,non_activated
CVnIdwA,LITTLE_THINGS,1,30,30,0.8418493187023635,11.151238860103344,32.744710200921865,4.20986051477729e-07,164.51883274723826,0.0076804461526639,0.19,2.96,,3.6,66.5,,,Vobs,0.5,16.652,non_activated
DDO_210,LITTLE_THINGS,1,16,16,-0.0264164545226359,3.227178976093102,8.683284560300015,1.6225808176112828e-08,764.6116364757347,0.0035913885351771,0.04,0.31,,0.9,66.7,,,Vobs,0.5,7.34,non_activated
DDO_216,LITTLE_THINGS,1,26,26,0.3041890321662498,3.881402537213064,10.644549737509998,5.605725869103762e-08,301.95951910634875,0.0128361970828052,0.09,1.12,,1.1,63.7,,,Vobs,0.975,12.605,non_activated
DDO_53,LITTLE_THINGS,1,27,27,0.3219414765157212,14.397555784635712,51.74000055511234,5.991610364271132e-08,615.8216797863105,0.0314401049621156,0.11,1.56,,3.6,27.0,,,Vobs,0.5,20.342,non_activated
DDO_70,LITTLE_THINGS,1,48,48,0.0465675210079058,14.28121776016648,49.454288180381056,2.1333806622603837e-08,757.7371035401496,0.0125410870070559,0.08,2.0,,1.3,50.0,,,Vobs,0.875,26.477,non_activated
IC_10,LITTLE_THINGS,1,50,49,0.4964027827373867,20.62282237746182,62.56835519015589,1.152582435271518e-07,3133.628770899197,0.049654842559742,0.06,0.54,,0.7,47.0,,,Vobs,0.5,21.643,non_activated
IC_1613,LITTLE_THINGS,1,218,218,0.6726410873931201,246.2856628558025,2120.495289091165,2.2320013687166282e-07,108.37463209131076,0.0144780707894671,0.14,2.71,,0.7,48.0,,,Vobs,0.5,13.077,non_activated
UGC_8508,LITTLE_THINGS,1,50,50,0.0415685358018351,8.77461294409428,30.090735912326988,2.093760418089964e-08,752.0469870642511,0.0119982256808445,0.07,1.86,,2.6,82.5,,,Vobs,0.5,25.634,non_activated
WLM,LITTLE_THINGS,1,266,266,0.5637357378523608,1508.6383450756082,13209.002178899183,1.48364752651311e-07,431.48623643148,0.0517308850276103,0.01,3.38,,1.0,74.0,,,Vobs,0.65,26.838,non_activated
DDO_50,LITTLE_THINGS,1,170,170,0.4940326188157336,142.98438858187336,722.9896157180455,1.1423835420448477e-07,243.47275565955627,0.2170608292006632,0.12,9.81,,3.4,49.7,,,Vobs,0.95,31.287,non_activated
F564-V3,LITTLE_THINGS,1,22,22,0.4837923546451365,13.108657757412836,35.243060322477746,1.0993465035708983e-07,491.18790772983846,0.0197055661781278,0.34,3.71,,8.7,56.5,,,Vobs,1.2000000000000002,27.96,non_activated
DDO_126,LITTLE_THINGS,1,60,60,0.6019268205830167,9.370214326086312,41.89560984622822,1.7120990969978805e-07,293.0025407610996,0.0084774751988874,0.13,3.99,,4.9,65.0,,,Vobs,0.575,27.517,non_activated
HARO_29,LITTLE_THINGS,1,64,64,0.3652296749869062,46.23069277139727,171.4237769744427,7.047626981899393e-08,693.0024809765524,0.0104551127837454,0.16,5.03,,5.9,61.2,,,Vobs,1.525,32.203,non_activated
DDO_101,LITTLE_THINGS,1,18,18,-0.0719935479199965,1.1764337813664654,2.848486688659873,1.3676635948870412e-08,2538.1155871838364,0.0083847437398224,0.22,2.32,,6.4,51.0,,,Vobs,1.0750000000000002,51.749,non_activated
DDO_133,LITTLE_THINGS,1,38,38,0.5167100111448096,8.955719013391462,31.931586586737957,1.2437824837693461e-07,634.1822835424803,0.0140956172772049,0.18,3.48,,3.5,43.4,,,Vobs,0.725,35.147,non_activated
NGC_1569,LITTLE_THINGS,1,47,47,0.4934283013358422,9.698281593915066,34.01257072242003,1.139797614481605e-07,520.7932675058855,0.0036730804291628,0.25,3.17,,3.4,69.1,,,Vobs,0.55,32.266,non_activated
DDO_43,LITTLE_THINGS,1,9,9,1.5187699752902175,2.955878343502631,8.594860660139119,5.329708994528235e-06,321.14582527795625,0.018678045917132,0.47,4.19,,7.8,40.6,,,Vobs,0.725,29.213,non_activated
HARO_36,LITTLE_THINGS,1,20,20,-0.0681042739761555,5.632733315853662,19.33606825351859,1.3877568353522965e-08,599.5867837548368,0.0061278211758396,0.32,3.16,,9.3,70.0,,,Vobs,0.6,34.763,non_activated
DDO_168,LITTLE_THINGS,1,59,59,0.534240237130637,19.766330043951733,105.09577497762643,1.3282940819333585e-07,824.9895786081919,0.0362576670341732,0.12,3.99,,4.3,46.5,,,Vobs,0.5,43.929,non_activated
NGC_2366,LITTLE_THINGS,1,140,140,0.5030128938567394,39.61942686227663,193.80571514924029,1.1815095933337962e-07,562.4175787971872,0.0170872898771853,0.12,8.08,,3.4,63.0,,,Vobs,0.9,47.631,non_activated
DDO_154,LITTLE_THINGS,1,106,106,0.4103163027058759,55.09893018149245,341.8549910925221,8.34586173277776e-08,531.3602397957952,0.0146282995414984,0.14,7.89,,3.7,68.2,,,Vobs,1.0750000000000002,39.982,non_activated
DDO_87,LITTLE_THINGS,1,66,66,0.5204225796510784,22.816640722198372,104.351068240075,1.261219687328837e-07,205.3491492067801,0.0240844932610603,0.22,7.39,,7.7,55.5,,,Vobs,0.5,37.836,non_activated
DDO_52,LITTLE_THINGS,1,32,32,0.4355685402165555,4.038048970705148,16.97864201526255,9.174810184582105e-08,659.0251758500009,0.005916768296557,0.34,5.43,,10.3,43.0,,,Vobs,0.825,45.413,non_activated
DDO_46,LITTLE_THINGS,1,42,42,0.3569339736105383,41.53703828204991,177.44575614076754,6.831758324395253e-08,2567.480472656164,0.0349469149448773,0.15,3.54,,6.1,27.9,,,Vobs,1.15,59.579,non_activated
DDO_47,LITTLE_THINGS,1,68,68,0.3350093810051684,15.393600363014672,56.189274735421264,6.29254034618453e-08,332.69356599318183,0.0277672990500734,0.23,7.71,,5.2,45.5,,,Vobs,0.625,44.788,non_activated
NGC_3738,LITTLE_THINGS,1,24,24,0.4059205111422867,5.634231375441167,20.756516680535103,8.209414429395442e-08,11349.526980233615,0.0094044460886347,0.08,1.75,,4.9,22.6,,,Vobs,0.75,94.82,non_activated
